"participant","experiment","phase","trial_type","trial_num","block_num","category","codename","cued_part","cued_type","part_attempts_total","part_first_attempt_corr","target_hex","target_l","target_a","target_b","color_response_bias","color_response_correct","color_response_type"
2,1,"main","color",2,1,"B","nodon","tail","unique",NA,NA,"#9287D5",60,22,-39,0,0,"orthogonal"
2,1,"main","part",3,1,"B","nodon","back","shared",1,1,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",3,1,"B","sorex","leg","unique",NA,NA,"#9A8BAB",60,12.10050506,-15.10050506,1,0,"attract"
2,1,"main","part",4,1,"B","sorex","head","shared",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",4,1,"A","volar","tail","shared",NA,NA,"#BC827E",60,22,11,0,0,"orthogonal"
2,1,"main","part",5,1,"A","praxa","leg","shared",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",5,1,"B","denor","tail","shared",NA,NA,"#878EBC",60,8,-25,0,0,"orthogonal"
2,1,"main","part",6,1,"A","gavan","head","shared",2,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",6,1,"A","funda","back","shared",NA,NA,"#C6804C",60,22,39,-1,0,"repel"
2,1,"main","part",7,1,"B","sorex","leg","unique",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",7,1,"A","gavan","leg","unique",NA,NA,"#AF8877",60,12.10050506,15.10050506,0,0,"orthogonal"
2,1,"main","part",8,1,"A","volar","tail","shared",3,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",8,1,"A","volar","head","unique",NA,NA,"#D37955",60,31.89949494,34.89949494,1,0,"attract"
2,1,"main","part",9,1,"A","praxa","back","unique",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",9,1,"B","motar","back","unique",NA,NA,"#AA7FCE",60,31.89949494,-34.89949494,0,0,"orthogonal"
2,1,"main","part",10,1,"B","nodon","tail","unique",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",10,1,"B","denor","head","unique",NA,NA,"#AE84A4",60,22,-11,0,0,"orthogonal"
2,1,"main","part",11,1,"A","funda","back","shared",2,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",11,1,"B","sorex","head","shared",NA,NA,"#BB7ABD",60,36,-25,0,0,"orthogonal"
2,1,"main","part",12,1,"B","denor","tail","shared",1,1,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",12,1,"A","praxa","leg","shared",NA,NA,"#B78753",60,12.10050506,34.89949494,1,0,"attract"
2,1,"main","part",13,1,"B","motar","back","unique",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",13,1,"A","praxa","back","unique",NA,NA,"#D67667",60,36,25,0,0,"orthogonal"
2,1,"main","part",14,1,"A","gavan","leg","unique",3,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",14,1,"B","nodon","back","shared",NA,NA,"#BC7CAC",60,31.89949494,-15.10050506,1,0,"attract"
2,1,"main","part",15,1,"A","volar","head","unique",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",15,1,"A","gavan","head","shared",NA,NA,"#CC7A78",60,31.89949494,15.10050506,0,0,"orthogonal"
2,1,"main","part",16,1,"B","motar","leg","shared",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",16,1,"A","funda","tail","unique",NA,NA,"#AD8A65",60,8,25,0,0,"orthogonal"
2,1,"main","part",17,2,"A","volar","head","unique",2,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",17,2,"A","gavan","back","shared",NA,NA,"#C6804C",60,22,39,-1,0,"repel"
2,1,"main","part",18,2,"B","motar","tail","shared",11,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",18,2,"B","nodon","head","shared",NA,NA,"#BB7ABD",60,36,-25,0,0,"orthogonal"
2,1,"main","part",19,2,"B","denor","leg","shared",3,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",19,2,"B","sorex","leg","unique",NA,NA,"#9A8BAB",60,12.10050506,-15.10050506,1,0,"attract"
2,1,"main","part",20,2,"A","praxa","tail","shared",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",20,2,"B","sorex","back","shared",NA,NA,"#BC7CAC",60,31.89949494,-15.10050506,0,0,"orthogonal"
2,1,"main","part",21,2,"A","praxa","back","unique",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",21,2,"B","denor","head","unique",NA,NA,"#AE84A4",60,22,-11,0,0,"orthogonal"
2,1,"main","part",22,2,"B","nodon","tail","unique",1,1,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",22,2,"A","gavan","leg","unique",NA,NA,"#AF8877",60,12.10050506,15.10050506,-1,0,"repel"
2,1,"main","part",23,2,"A","funda","head","shared",1,1,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",23,2,"B","motar","tail","shared",NA,NA,"#878EBC",60,8,-25,-1,0,"repel"
2,1,"main","part",24,2,"A","gavan","leg","unique",2,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",24,2,"A","volar","leg","shared",NA,NA,"#B78753",60,12.10050506,34.89949494,0,0,"orthogonal"
2,1,"main","part",25,2,"A","gavan","back","shared",4,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",25,2,"A","praxa","tail","shared",NA,NA,"#BC827E",60,22,11,0,1,"target"
2,1,"main","part",26,2,"B","sorex","leg","unique",5,0,NA,NA,NA,NA,NA,NA,NA
2,1,"main","color",26,2,"A","funda","tail","unique",NA,NA,"#AD8A65",60,8,25,0,0,"orthogonal"
2,1,"main","part",27,2,"B","nodon","head","shared",1,1,NA,NA,NA,NA,NA,NA,NA
